Ticker,Company Name,Stock Exchange,Domiciled,Mine Location Country,Mine Location State,Company_Type,Primary_Assets,Secondary_Assets,Notes
STND.V,Standard Uranium,TSX.V,Canada,Canada,Saskatchewan,Explorer,"Davidson River (flagship, southwest Athabasca); Corvo; Rocas; Sun Dog; Manhattan showing — ~94,476 ha portfolio",Primary,Project generator model focused on Athabasca Basin; partnered with Fleet Space Technologies for ExoSphere Multiphysics surveys at Davidson River; Corvo Manhattan showing returned grab samples up to 8.1% U3O8; mkt cap ~C$15M
STTDF,Standard Uranium,OTCQB,Canada,Canada,Saskatchewan,Explorer,Same as TSX.V:STND,Primary,"US OTCQB dual listing of Standard Uranium (TSX.V:STND); same company; Davidson River + portfolio of Athabasca Basin projects ~94,500 ha"
PAT.V,Patterson Metals,TSX.V,Canada,Canada,Saskatchewan,Explorer,"Carter Lake (western Athabasca Basin); Pendleton Lake (southeastern Athabasca, acquired Mar 2025)",Primary,Early-stage western + southeastern Athabasca uranium explorer; ground geophysical survey identified 13 IP anomalies at Carter Lake; mkt cap ~C$10M
PUR.V,Premier American Uranium,TSX.V,Canada,USA,New Mexico; Wyoming; Colorado; Utah; Arizona,Developer,"Cebolleta Project NM (flagship — 6,717 acres mineral rights, PEA optimization 2026); Cyclone Project WY (>25,500 acres Great Divide Basin); Kaycee WY (Powder River Basin, ~35-mile trend); Monogram Mesa + Atkinson Mesa + Outlaw Mesa + Slick Rock CO; Moonshine Springs AZ; White Canyon UT",Primary,"US-focused uranium developer consolidating projects across NM/WY/CO/UT/AZ; Cebolleta NM advanced exploration with PEA work underway; Kaycee WY has 4,200+ historical drill holes + 430 miles of mapped roll fronts; mkt cap ~C$60M"
PAUIF,Premier American Uranium,OTC,Canada,USA,NM; WY; CO; UT; AZ,Developer,Same as TSX.V:PUR,Primary,US OTC pink-sheet dual listing of Premier American Uranium (TSX.V:PUR); same company; Cyclone Wyoming + Cebolleta New Mexico + acquiring Nuclear Fuels (Kaycee)
AEC.V,Anfield Energy,TSX.V,Canada,USA,Utah; Colorado; Arizona; Wyoming,Developer,Velvet-Wood Mine UT; Shootaring Canyon Mill UT (one of only 3 licensed conventional uranium mills in US); Slick Rock CO; Charlie WY ISR project,Primary,US Sandstone Belt uranium-vanadium developer; owns Shootaring Canyon Mill (licensed but not operating); Velvet-Wood UT past-producer being prepared for restart; mkt cap ~C$40M
MGA.TO,Mega Uranium,TSX,Canada,Australia; Canada,Queensland; multiple,Explorer,Maureen project + Georgetown Australia uranium properties; portfolio of equity investments in uranium-focused public + private companies (Toro Energy stake),Primary,Hybrid uranium explorer + investment vehicle; long-tenured (founded 1990); large Toro Energy (ASX:TOE) stake; sold Ben Lomond QLD to Consolidated Uranium 2022; mkt cap ~C$270M
MGAFF,Mega Uranium,OTC,Canada,Australia; Canada,Queensland; multiple,Explorer,Same as TSX:MGA,Primary,US OTC pink-sheet dual listing of Mega Uranium (TSX:MGA); same company; investment portfolio includes stakes in NexGen + IsoEnergy + GoviEx + others (closed-end-fund-like uranium equity exposure)
AMU.AX,American Uranium,ASX,Australia,USA,Wyoming; Utah,Explorer,Wyoming + Utah uranium claims,Primary,"Wyoming ISR uranium developer (renamed from GTI Energy Aug 29, 2025); flagship Lo Herma project Powder River Basin (8.57 Mlb JORC indicated+inferred + 6-11 Mlb exploration target); plus Great Divide Basin + Green Mountain projects + Utah uranium-vanadium; total Wyoming JORC resource 10.23 Mlb U3O8"
FUUFF,F3 Uranium Corp,OTCQB,Canada,Canada,Saskatchewan,Explorer,Same as TSX.V:FUU,Primary,US OTCQB dual listing of F3 Uranium Corp (TSX.V:FUU); same company; Athabasca Basin discovery-stage explorer with JR Zone uranium discovery
PTUUF,Purepoint Uranium Group,OTCQB,Canada,Canada,Saskatchewan,Explorer,Same as TSX.V:PTU,Primary,US OTCQB dual listing of Purepoint Uranium Group (TSX.V:PTU); same company; Hook Lake JV (Cameco/Orano) + portfolio of Athabasca exploration projects
SBSW,Sibanye-Stillwater,NYSE,South Africa,South Africa,Free State; Witwatersrand,Producer,Cooke tailings facility uranium reprocessing (maiden 25.2 Mlb Mineral Reserve as of 2025); 40% equity stake in Neo Energy Metals (LON:NEO) post-Beisa sale Dec 2024; PGM operations in South Africa + US; gold operations,Secondary,Major South African PGM/gold producer; uranium produced as byproduct from Cooke tailings + 40% Neo Energy stake; partnership with C5 Capital announced Mar 2026 to develop SMR fuel cycle uranium projects; NYSE ADR (also JSE:SSW)
NUKZ,Range Nuclear Renaissance Index ETF,NYSE Arca,USA,Global,N/A,ETF,Diversified equity exposure to uranium miners + nuclear utilities + reactor builders + nuclear services across global markets,Primary,"Range Nuclear Renaissance Index ETF; 0.85% expense ratio; broader nuclear-thematic ETF including utilities and reactor tech; competes with URA, URNM, URNJ"
URAA,Direxion Daily Uranium Industry Bull 2X Shares,NYSE Arca,USA,Global,N/A,ETF,2x daily leveraged exposure to the Solactive United States Uranium Industry Index,Primary,Leveraged ETF — 2x daily long; designed for short-term tactical use only; high decay over multi-day holding periods; intended for sophisticated investors
URAX,Defiance Daily Target 2X Long Uranium ETF,NYSE Arca,USA,Global,N/A,ETF,2x daily leveraged exposure to a basket of uranium-related equities,Primary,Leveraged ETF — 2x daily long; designed for short-term tactical use only; competes with URAA; high decay over multi-day holding periods
DMX.V,District Metals,TSX.V,Canada,Sweden,Jämtland County,Developer,Viken Energy Metals Project Sweden — largest undeveloped uranium resource in the world (~1.5B lbs U3O8 inferred at 161 ppm) + significant V/Mo/Ni/Cu/Zn polymetallic credits; multiple Alum Shale + basement-hosted properties,Primary,"Major Swedish uranium developer; Sweden lifted uranium mining ban Jan 1, 2026; PEA targeted Q2 2026; OTCQX: DMXCF; Nasdaq First North: DMXSE SDB; FRA: DFPP; 2025 TSX Venture 50 company; mkt cap ~C$80M"
FOR.V,Fortune Bay,TSX.V,Canada,Canada,Saskatchewan,Explorer,JV partner with Aero Energy on Murmac and Strike uranium projects (Athabasca Basin north rim); also gold projects,Secondary,"Fortune Bay (TSXV:FOR) — primarily gold (Goldfields project SK + Poma Rosa Mexico); uranium is partner-funded optionality through JV partners (Aero Energy on Murmac/Strike, Neu Horizon on The Woods); Fortune Bay remains operator while partners fund exploration; mkt cap ~C$44M; uranium gives non-dilutive uranium exposure"
STLNF,Stallion Uranium,OTCQB,Canada,Canada,Saskatchewan,Explorer,Same as TSX.V:STUD,Primary,"US OTCQB dual listing of Stallion Uranium (TSX.V:STUD); same company; Western Athabasca Basin contiguous land package ~1,700 km² with Atha Energy JV"
SMC.TO,Sulliden Mining Capital,TSX,Canada,Canada; multiple,multiple,Explorer,Diversified mining capital vehicle with uranium-sector equity investments,Secondary,Mining capital/investment company with portfolio holdings including uranium equities; not a primary uranium explorer
NF.CN,Nuclear Fuels,CSE,Canada,USA,Wyoming,Explorer,Kaycee Project Wyoming Powder River Basin (ISR uranium target),Primary,"US ISR-focused uranium developer; flagship Kaycee Wyoming Powder River Basin (55 sq mi, 36-mile mineralized trend, 430 miles of roll fronts; NI 43-101 exploration target 11.5-30 Mlb U3O8); unique as only PRB project where all three productive sandstone formations (Wasatch + Fort Union + Lance) are mineralized; enCore Energy retains 51% back-in right; included in Sprott Junior URNJ ETF; PENDING ACQUISITION by Premier American Uranium (PUR) — definitive arrangement Jun 4 2025"
1AE.AX,Aurora Energy Metals,ASX,Australia,USA,Oregon,Explorer,Aurora Uranium Project Oregon — large historical resource of ~58 Mlbs U3O8,Primary,ASX-listed US-Oregon uranium explorer; Aurora deposit is one of largest US-domestic uranium resources
BKY.AX,Berkeley Energia,ASX,Australia,Spain,Salamanca,Developer,Salamanca uranium project Spain — fully permitted ISR resource (~89.3 Mlbs U3O8); construction halted pending Spanish government approval,Primary,Spanish uranium project — Salamanca had been fully permitted to construction stage but Spanish anti-nuclear policy halted progress; project has been litigated; significant historical investment
CXU.AX,Cauldron Energy,ASX,Australia,Australia,Western Australia,Explorer,Yanrey ISR uranium project Western Australia (Bennet Well + Tertiary Sands deposits),Primary,"WA-focused uranium explorer; flagship Yanrey Project ~1,270 km² hosting >55 Mlb U3O8 JORC resource (Bennet Well + Manyingee North + Manyingee South + Cosgrove palaeochannels); strategic ISR partnership with Navoiyuran (world's 2nd-largest ISR producer); included in Sprott URNM and BetaShares URNM ETFs; mkt cap ~A$25-88M"
DEV.AX,DevEx Resources,ASX,Australia,Australia,NT; multiple,Explorer,Nabarlek + Junnagunna uranium projects NT; multi-commodity portfolio,Primary,"NT-focused multi-commodity explorer; uranium projects in Nabarlek area (NT, near historic past-producing Nabarlek mine which was Australia's highest-grade uranium mine); also gold + base metals exposure"
GLA.AX,Gladiator Resources,ASX,Australia,Tanzania; Australia,multiple,Explorer,Mkuju River area Tanzania uranium project; Australian claims,Primary,Tanzania-focused uranium explorer; Mkuju River area projects in southern Tanzania near the Mkuju River uranium project (one of Africa's largest undeveloped deposits)
HAR.AX,Haranga Resources,ASX,Australia,Senegal,Saraya,Explorer,Saraya Uranium Project Senegal,Primary,"70%-owned Saraya Uranium Project Senegal (1,650 km² permit); JORC inferred resource 16.1 Mlb U3O8 @ 587 ppm; >96% U3O8 acid-leach extraction confirmed in metallurgical testwork; also Ibel-South gold permit Senegal (Birimian formation, 40+ Moz gold discovered regionally)"
LI.V,American Lithium,TSX.V,Canada,Peru; USA,multiple,Developer,TLC lithium project Nevada; Falchani lithium + Macusani uranium projects Peru,Secondary,American Lithium (TSXV:LI) — primarily a lithium developer (TLC Lithium Nevada + Falchani Lithium Peru); Macusani Uranium project Peru is the secondary uranium asset (resource estimates available); mkt cap ~C$162M; Vancouver-based
GCL.L,Geiger Counter Limited Fund,LSE,Jersey,Global,N/A,Physical Trust,Investment trust holding global uranium mining equities + physical uranium exposure,Primary,Closed-end uranium investment trust (similar to Sprott Uranium Miners ETF model) listed on LSE; Jersey-domiciled; gives UK-investor access to uranium thematic basket
POW.L,Power Metal Resources,LSE (AIM),UK,multiple,multiple,Explorer,Diversified critical minerals portfolio including uranium claims (Athabasca Basin and Tanzania),Secondary,"Power Metal Resources (LSE:POW) — multi-commodity AIM-listed explorer (nickel, lithium, tungsten, copper, graphite, zinc, uranium, gold, REE, PGM); Tati Uranium project Botswana provides uranium exposure; mkt cap £14.68M; primary commodities are not uranium"
BHP.AX,BHP Group,ASX,Australia,Australia,South Australia,Producer,Same as NYSE:BHP — Olympic Dam (uranium byproduct),Secondary,ASX home market listing (primary) of BHP — world's largest mining company; uranium produced as byproduct of copper/gold/silver at Olympic Dam SA
NATKY,Kazatomprom,OTC,Kazakhstan,Kazakhstan,Multiple ISR operations,Producer,Same as LSE:KAP — world's largest uranium producer (~21% of global production); 100% ISR operations,Primary,US OTC Pink ADR for Kazatomprom (1 ADR = 0.5 ordinary shares); accessible to US retail; primary listing remains LSE:KAP and AIX:KZAP
PENMF,Peninsula Energy,OTC,Australia,USA,Wyoming,Producer,Same as ASX:PEN — Lance Project Wyoming (ISR; ~58 Mlbs JORC resource); restarted Dec 2024 with low-pH ISR,Primary,US OTC pink-sheet dual listing of Peninsula Energy (ASX:PEN); only ASX-listed pure-play uranium producer with US ISR exposure
GVXXF,GoviEx Uranium,OTCQB,Canada,Zambia; Niger; Mali,Multiple,Developer,Same as TSX.V:GXU,Primary,US OTCQB dual listing of GoviEx Uranium (TSX.V:GXU); same company; Muntanga Zambia + Madaouela Niger + Falea Mali; reverse takeover with Tombador Iron completed Nov 2025
APAAF,Appia Rare Earths & Uranium,OTCQB,Canada,Canada; Brazil,Saskatchewan; Ontario; Goiás,Explorer,Same as CSE:API,Primary,"US OTCQB dual listing of Appia Rare Earths & Uranium (CSE:API); same company; Alces Lake REE flagship + Athabasca uranium claims (~75,314 ha)"
URNM.TO,Sprott Uranium Miners ETF,TSX,Canada,N/A — fund of funds,N/A,ETF,Tracks North Shore Global Uranium Mining Index (same as NYSE:URNM),Primary,Canadian-listed version of Sprott Uranium Miners ETF; CAD-denominated for Canadian investors; same underlying index as NYSE:URNM
URNM.L,Sprott Uranium Miners ETF,LSE,Canada,N/A — fund of funds,N/A,ETF,Tracks North Shore Global Uranium Mining Index (same as NYSE:URNM),Primary,UK-listed version of Sprott Uranium Miners ETF for European investors; UCITS-compliant
HURA.TO,Global X Uranium Index ETF,TSX,Canada,N/A — fund of funds,N/A,ETF,Tracks Solactive Global Uranium and Nuclear Components Total Return Index,Primary,Canadian-listed Global X Uranium Index ETF (CAD-denominated); broader than NYSE:URA — includes nuclear component manufacturers
FNUC,Frontier Nuclear and Minerals,NASDAQ,Canada,USA; Australia,Wyoming; Colorado; Utah,Developer,"Pine Ridge uranium project Wyoming (50/50 JV with Global Uranium and Enrichment, now wholly-owned post-acquisition); large US uranium resource base from GUE acquisition; 21.9% indirect interest in Ubaryon (Australian enrichment tech); stake in Kadmos Energy Services LLC",Primary,"Pure-play nuclear fuel cycle company; renamed from Snow Lake Resources (NASDAQ: LITM) on Mar 16, 2026; acquired Global Uranium and Enrichment (ASX:GUE) Feb 13, 2026; plans lithium spin-off as separate entity; one of the largest US uranium resource bases"
STUD.V,Stallion Uranium,TSX.V,Canada,Canada,Saskatchewan,Explorer,"Western Athabasca Basin contiguous land package ~1,700 km² (largest contiguous in Western Athabasca with JV partner Atha Energy); Moonlite + Coyote + Stone Island + Newlands projects; FSE: B76",Primary,Western Athabasca explorer; raised C$15M (Aug 2025) + C$4.55M (Dec 2025) for active drilling; Phase 1 drill program at Moonlite underway April 2026; mkt cap ~C$50M
UTWO.V,U92 Energy,TSX.V,Canada,Guyana,Northwest Guyana,Explorer,Kurupung uranium project Guyana (flagship); phase one drilling underway (April 2026),Primary,Guyana-focused uranium explorer; rare exposure to South American uranium; phase one drilling progressing through 2026
GEN.V,Generation Uranium,TSX.V,Canada,Canada,Saskatchewan; Nunavut,Explorer,Yath uranium project Nunavut (flagship); other Athabasca region claims,Primary,TSXV-listed uranium explorer; filed independent NI 43-101 technical report April 2026 on Yath uranium project Nunavut + Athabasca region claims; FRA: W85; OTC: GENRF
GENRF,Generation Uranium,OTCQB,Canada,Canada,Saskatchewan; Nunavut,Explorer,Same as TSX.V:GEN,Primary,US OTCQB dual listing of Generation Uranium (TSX.V:GEN); same company; Yath uranium project Nunavut + Athabasca region claims
LTSRF,Lotus Resources,OTCQB,Australia,Malawi; Botswana,Multiple,Producer,"Same as ASX:LOT — 85% Kayelekera Mine Malawi (51.1 Mlb resource, restarted Aug 2025); 100% Letlhakane Project Botswana (113.7 Mlb resource)",Primary,"US OTCQB dual listing of Lotus Resources; Africa-focused uranium producer; first yellowcake from Kayelekera produced Aug 2025; targeting steady-state Q2 2026 (~200,000 lbs/month)"
1164.HK,CGN Mining,SEHK,Hong Kong,Kazakhstan; China,Multiple ISR operations,Producer,"Subsidiary of China General Nuclear Power Corporation; uranium investment in Kazakhstan ISR JVs (Semizbay-U, Ortalyk JVs with Kazatomprom); supplies uranium to CGN reactors in China",Primary,Hong Kong-listed Chinese uranium investment company; secures uranium for CGN reactor fleet via Kazakhstan JVs; complementary to existing CGNPC.HK utility row
